Gemeentecode,Gemeentenaam,Grote_gemeente,Inwonertal,Provincienaam,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19
GM0556,Maassluis,Nee,32768,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
GM0935,Maastricht,Ja,121565,Limburg,0,0,0,0,0,0,0,1,2,3,4,6,7,8,8,10,16,21,24,33,41,42
GM0420,Medemblik,Nee,44809,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0938,Meerssen,Nee,18923,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
GM1948,Meierijstad,Nee,80815,Noord-Brabant,0,0,0,0,0,0,0,0,0,1,4,10,11,13,18,25,30,34,42,49,60,72
GM0119,Meppel,Nee,33564,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0687,Middelburg,Nee,48544,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
GM1842,Midden-Delfland,Nee,19391,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM1731,Midden-Drenthe,Nee,33178,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM1952,Midden-Groningen,Nee,60899,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
GM0815,Mill en Sint Hubert,Nee,10891,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
GM1709,Moerdijk,Nee,36961,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2
GM1978,Molenlanden,Nee,43858,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,9
GM1955,Montferland,Nee,36026,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GM0335,Montfoort,Nee,13996,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0944,Mook en Middelaar,Nee,7806,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM1740,Neder-Betuwe,Nee,24034,Gelderland,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,4,4,4,4
GM0946,Nederweert,Nee,17001,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,7,7
GM0356,Nieuwegein,Nee,63036,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6
GM0569,Nieuwkoop,Nee,28628,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
GM0267,Nijkerk,Nee,42943,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2
GM0268,Nijmegen,Ja,176731,Gelderland,0,0,0,0,0,0,0,1,1,2,2,3,3,5,6,8,9,12,17,31,41,48
GM1930,Nissewaard,Nee,84797,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,7
GM1970,Noardeast-Fryslân,Nee,45181,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM1695,Noord-Beveland,Nee,7308,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
GM1699,Noordenveld,Nee,31290,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GM0171,Noordoostpolder,Nee,46849,Flevoland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
GM0575,Noordwijk,Nee,42859,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3
GM0820,"Nuenen, Gerwen en Nederwetten",Nee,23186,Noord-Brabant,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GM0302,Nunspeet,Nee,27481,Gelderland,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3
GM0579,Oegstgeest,Nee,24426,Zuid-Holland,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,4,4,4,4,5
GM0823,Oirschot,Nee,18623,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GM0824,Oisterwijk,Nee,26140,Noord-Brabant,0,0,0,0,0,0,0,1,1,3,3,3,3,4,5,6,6,6,9,10,10,10
GM1895,Oldambt,Nee,38129,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0269,Oldebroek,Nee,23598,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5
GM0173,Oldenzaal,Nee,31840,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3
GM1773,Olst-Wijhe,Nee,18071,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0175,Ommen,Nee,17813,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
GM1586,Oost Gelre,Nee,29704,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0826,Oosterhout,Nee,55616,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,5,6,8,9,9
GM0085,Ooststellingwerf,Nee,25497,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0431,Oostzaan,Nee,9757,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
GM0432,Opmeer,Nee,11779,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0086,Opsterland,Nee,29723,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
GM0828,Oss,Nee,91451,Noord-Brabant,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,4,5,11,14,20,26
GM1509,Oude IJsselstreek,Nee,39473,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
GM0437,Ouder-Amstel,Nee,13916,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
GM0589,Oudewater,Nee,10201,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
GM1734,Overbetuwe,Nee,47543,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,9,9,11
GM0590,Papendrecht,Nee,32290,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM1894,Peel en Maas,Nee,43311,Limburg,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,8,10,14,19,31,36,41
GM0765,Pekela,Nee,12214,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
GM1926,Pijnacker-Nootdorp,Nee,54331,Zuid-Holland,0,0,0,0,0,0,0,2,2,2,2,2,4,5,7,6,6,7,8,10,11,11
GM0439,Purmerend,Nee,80117,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,4,7
GM0273,Putten,Nee,24198,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
GM0177,Raalte,Nee,37511,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3
GM0703,Reimerswaal,Nee,22678,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4
GM0274,Renkum,Nee,31302,Gelderland,0,0,0,0,0,0,0,0,1,1,5,5,5,7,7,7,7,8,8,8,8,8
GM0339,Renswoude,Nee,5259,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM1667,Reusel-De Mierden,Nee,13060,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0275,Rheden,Nee,43640,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4
GM0340,Rhenen,Nee,20004,Utrecht,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
GM0597,Ridderkerk,Nee,46241,Zuid-Holland,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
GM1742,Rijssen-Holten,Nee,38300,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0603,Rijswijk,Nee,53467,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
GM1669,Roerdalen,Nee,20615,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GM0957,Roermond,Nee,58209,Limburg,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,4,6,13
GM1674,Roosendaal,Nee,77032,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,6,6,6,7
GM0599,Rotterdam,Ja,644618,Zuid-Holland,0,0,0,0,2,1,3,5,9,11,14,14,15,15,15,20,24,25,30,41,58,81
GM0277,Rozendaal,Nee,1654,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
GM0840,Rucphen,Nee,22572,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
GM0441,Schagen,Nee,46553,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,5,6
GM0279,Scherpenzeel,Nee,9873,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0606,Schiedam,Nee,77999,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
GM0088,Schiermonnikoog,Nee,936,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM1676,Schouwen-Duiveland,Nee,33779,Zeeland,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
GM0965,Simpelveld,Nee,10516,Limburg,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,4,5,5
GM1702,Sint Anthonis,Nee,11606,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,8
GM0845,Sint-Michielsgestel,Nee,28991,Noord-Brabant,0,0,0,0,0,0,0,1,2,3,5,5,5,5,5,5,6,6,8,8,10,10
GM1883,Sittard-Geleen,Nee,92661,Limburg,0,0,0,0,0,0,1,3,4,4,7,8,13,20,20,23,35,37,38,42,51,51
GM0610,Sliedrecht,Nee,25026,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GM1714,Sluis,Nee,23386,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
GM0090,Smallingerland,Nee,55938,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3
GM0342,Soest,Nee,46194,Utrecht,0,0,0,0,0,0,0,4,6,7,7,7,8,8,8,8,8,8,10,11,12,13
GM0847,Someren,Nee,19322,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3
GM0848,Son en Breugel,Nee,16904,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,4,5
GM0037,Stadskanaal,Nee,31789,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0180,Staphorst,Nee,17003,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
GM0532,Stede Broec,Nee,21706,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
GM0851,Steenbergen,Nee,25054,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4
GM1708,Steenwijkerland,Nee,43940,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GM0971,Stein,Nee,24961,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,4,4
GM1904,Stichtse Vecht,Nee,64336,Utrecht,0,0,0,0,0,0,0,2,3,4,5,5,5,5,5,6,6,7,7,8,9,10
GM1900,Súdwest-Fryslân,Nee,89710,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
GM0715,Terneuzen,Nee,54589,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4
GM0093,Terschelling,Nee,4890,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0448,Texel,Nee,13547,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GM1525,Teylingen,Nee,37061,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
GM0716,Tholen,Nee,25780,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
GM0281,Tiel,Nee,41978,Gelderland,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,4,4,4,4
GM0855,Tilburg,Ja,217259,Noord-Brabant,0,0,0,1,1,1,3,4,4,10,12,27,29,42,50,67,68,68,84,88,95,119
GM0183,Tubbergen,Nee,21276,Overijssel,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3
GM1700,Twenterand,Nee,33792,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM1730,Tynaarlo,Nee,33698,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
GM0737,Tytsjerksteradiel,Nee,31780,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GM0856,Uden,Nee,41782,Noord-Brabant,0,0,0,0,0,0,1,1,2,6,7,12,13,18,21,25,28,33,43,49,53,60
GM0450,Uitgeest,Nee,13528,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0451,Uithoorn,Nee,29424,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
GM0184,Urk,Nee,20776,Flevoland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
GM0344,Utrecht,Ja,352866,Utrecht,0,0,0,0,2,2,2,6,8,11,13,13,14,18,25,26,30,38,48,60,69,83
GM1581,Utrechtse Heuvelrug,Nee,49515,Utrecht,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,5,6,8
GM0981,Vaals,Nee,10092,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0994,Valkenburg aan de Geul,Nee,16470,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
GM0858,Valkenswaard,Nee,30910,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GM0047,Veendam,Nee,27491,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0345,Veenendaal,Nee,65589,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2
GM0717,Veere,Nee,21835,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
GM0861,Veldhoven,Nee,45337,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2
GM0453,Velsen,Nee,68348,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4
GM0983,Venlo,Ja,101603,Limburg,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,8,12,21
GM0984,Venray,Nee,43326,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
GM1961,Vijfheerenlanden,Nee,55712,Utrecht,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,4,4,7
GM0622,Vlaardingen,Nee,72404,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4
GM0096,Vlieland,Nee,1138,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0718,Vlissingen,Nee,44371,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,4,4,5
GM0986,Voerendaal,Nee,12452,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
GM0626,Voorschoten,Nee,25479,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GM0285,Voorst,Nee,24417,Gelderland,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
GM0865,Vught,Nee,26396,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,6,7,8
GM1949,Waadhoeke,Nee,46039,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0866,Waalre,Nee,17247,Noord-Brabant,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
GM0867,Waalwijk,Nee,48240,Noord-Brabant,0,0,0,0,0,0,0,3,3,3,5,5,5,6,6,9,8,8,10,11,12,13
GM0627,Waddinxveen,Nee,28316,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3
GM0289,Wageningen,Nee,38774,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GM0629,Wassenaar,Nee,26211,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4
GM0852,Waterland,Nee,17315,Noord-Holland,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,4,7
GM0988,Weert,Nee,49842,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0457,Weesp,Nee,19334,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM1960,West Betuwe,Nee,50697,Gelderland,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,6,6,8
GM0668,West Maas en Waal,Nee,19076,Gelderland,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3
GM1969,Westerkwartier,Nee,63031,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3
GM1701,Westerveld,Nee,19348,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0293,Westervoort,Nee,14944,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM1950,Westerwolde,Nee,25199,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM1783,Westland,Ja,108603,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,7
GM0098,Weststellingwerf,Nee,25840,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0614,Westvoorne,Nee,14626,Zuid-Holland,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,3,3
GM0189,Wierden,Nee,24351,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0296,Wijchen,Nee,40951,Gelderland,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,4,5,6,8,8
GM1696,Wijdemeren,Nee,24013,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GM0352,Wijk bij Duurstede,Nee,23762,Utrecht,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,4
GM0294,Winterswijk,Nee,28903,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0873,Woensdrecht,Nee,21866,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0632,Woerden,Nee,52197,Utrecht,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,4,4
GM0880,Wormerland,Nee,16329,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM0351,Woudenberg,Nee,13166,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2
GM0479,Zaanstad,Ja,155885,Noord-Holland,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4
GM0297,Zaltbommel,Nee,28451,Gelderland,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
GM0473,Zandvoort,Nee,17011,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
GM0050,Zeewolde,Nee,22309,Flevoland,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3
GM0355,Zeist,Nee,63934,Utrecht,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,6,8,12,12,12
GM0299,Zevenaar,Nee,43488,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
GM0637,Zoetermeer,Ja,124944,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GM0638,Zoeterwoude,Nee,8450,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM1892,Zuidplas,Nee,42762,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0879,Zundert,Nee,21612,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,6,6
GM0301,Zutphen,Nee,47609,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GM1896,Zwartewaterland,Nee,22503,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,5
GM0642,Zwijndrecht,Nee,44639,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6
GM0193,Zwolle,Ja,127497,Overijssel,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,2,3,4,6,8,12,16
